Day,Time,Link,Duration(min)
Mon,10:30,https://tiet.zoom.us/my/scbc6,50
Tue,08:00,https://tiet.zoom.us/j/98875370015,50
Wed,10:30,https://tiet.zoom.us/my/csed5,50
Thu,08:00,https://tiet.zoom.us/j/98102120122,50
Fri,15:00,https://tiet.zoom.us/my/scbc6,50
